Country,City,Longitude,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind_Speed(mph)
RU,Tarko-Sale,77.78,64.92,39.99,86,98,7.76
PH,Basco,121.97,20.45,81.28,82,92,13.78
US,Charleston,-79.93,32.78,64.4,100,90,4.7
PT,Ponta do Sol,-17.1,32.67,68.77,73,75,13.87
RU,Sinegorskiy,40.84,48.01,54.97,52,100,17.74
CN,Jinchang,102.17,38.5,59.9,55,96,14.58
US,Farmington,-108.22,36.73,73.42,8,1,10.29
US,Hilo,-155.09,19.73,81.7,70,1,11.41
PL,Nur,22.32,52.67,51.53,87,93,10.6
IN,Bānka,86.92,24.88,78.13,80,87,2.75
UA,Tokmak,35.71,47.25,64.9,55,86,19.19
SV,San Miguel,-88.18,13.48,86.0,84,20,2.24
US,Saint Paul Harbor,-152.41,57.79,50.0,81,90,31.09
MA,Martil,-5.28,35.62,71.6,88,75,9.17
MY,George Town,100.34,5.41,79.27,88,20,2.24
CA,Yellowknife,-114.35,62.46,42.57,87,75,12.75
HK,Hong Kong,114.16,22.29,82.74,87,24,1.01
MX,Dzilam González,-88.93,21.28,80.89,80,1,7.38
GL,Qaanaaq,-69.36,77.48,14.29,79,0,6.24
PT,Ribeira Grande,-28.7,38.52,66.74,69,1,11.45
US,Jamestown,-79.24,42.1,56.25,81,90,6.93
US,Brigantine,-74.36,39.41,72.1,88,90,12.75
PL,Ełk,22.36,53.83,49.42,92,90,8.43
US,Albany,-73.97,42.6,61.0,78,79,5.41
RU,Vostok,135.88,46.49,49.96,78,0,1.86
RU,Russkiy Aktash,52.12,55.04,46.4,75,65,4.47
SA,Sakakah,40.21,29.97,78.8,21,0,8.05
RU,Dikson,80.55,73.51,35.51,82,100,15.46
RU,Severo-Kuril'sk,156.12,50.68,54.57,72,88,9.44
BY,Forsytheganj,29.73,52.63,55.89,66,96,10.65
MY,Paka,103.44,4.64,75.11,100,40,3.87
CA,Fort Nelson,-122.7,58.81,59.0,33,5,8.05
SY,Abu Samrah,37.18,35.3,72.86,51,18,8.68
US,Kapaa,-159.32,22.08,84.27,66,1,9.17
US,Cedar City,-113.06,37.68,78.8,7,1,5.82
SA,Abhā,42.51,18.22,63.57,48,0,0.78
CN,Bantou,117.49,26.22,68.22,90,100,2.64
CD,Mbandaka,18.26,0.05,70.99,87,69,2.53
VN,Bac Lieu,105.72,9.29,79.39,86,75,7.25
IN,Port Blair,92.75,11.67,81.37,81,89,18.01
US,Springdale,-94.13,36.19,65.62,34,1,5.82
CN,Ankang,109.02,32.68,65.12,79,7,2.89
GR,Karpathos,27.21,35.51,75.2,73,0,13.87
MA,Salé,-6.82,34.04,69.46,88,75,8.05
US,Hamilton,-84.53,39.18,52.32,87,75,4.7
RU,Tiksi,128.87,71.69,34.36,96,100,15.66
MX,San Patricio,-104.7,19.22,86.0,74,75,5.82
RU,Ust'-Uda,103.03,54.17,38.43,87,100,10.78
US,Bainbridge Island,-122.52,47.63,73.29,41,1,4.7
CO,Maní,-72.29,4.82,77.58,85,64,2.68
KI,Butaritari,172.79,3.07,82.33,75,39,13.67
GL,Nanortalik,-45.24,60.14,35.82,76,0,20.76
US,Springfield,-93.3,37.22,63.61,39,1,8.05
US,Millinocket,-68.71,45.66,67.55,88,75,8.05
CA,Fredericton,-66.67,45.95,65.23,93,90,10.29
RU,Bilibino,166.44,68.05,39.7,67,97,2.44
RU,Berezovyy,135.7,51.67,49.48,60,75,1.97
GL,Upernavik,-56.15,72.79,23.41,87,60,6.87
IT,Alghero,8.32,40.56,55.69,100,2,2.24
MR,Atar,-13.05,20.52,90.93,27,0,7.72
US,Nome,-165.41,64.5,42.57,60,75,8.05
GL,Tasiilaq,-37.64,65.61,32.0,92,100,3.36
JP,Katsuura,140.3,35.13,69.64,52,53,14.99
PH,San Policarpo,125.51,12.18,82.13,77,98,2.73
US,Fortuna,-124.16,40.6,65.68,68,1,11.41
NP,Jumla,82.18,29.27,53.11,57,0,4.61
NE,Tahoua,5.27,14.89,87.24,51,68,16.13
US,Barrow,-156.79,71.29,33.8,80,90,10.29
US,Bethel,-73.41,41.37,68.61,94,90,4.7
RU,Anadyr,177.48,64.75,44.26,75,20,6.71
CA,Port Hardy,-127.42,50.7,66.2,77,20,1.86
RU,Chokurdakh,147.92,70.63,41.41,81,96,7.11
IS,Husavik,-17.34,66.04,33.8,82,90,16.53
JP,Hirara,125.28,24.8,78.8,61,75,8.05
SA,Riyadh,46.72,24.69,77.0,27,0,3.36
RO,Cetate,23.05,44.1,53.01,80,16,1.01
CA,Albanel,-72.45,48.88,57.2,76,90,4.7
FI,Savonlinna,28.88,61.87,50.0,100,90,3.36
IN,Ratnagiri,73.3,16.98,74.91,87,75,5.14
RU,Leningradskiy,178.42,69.38,37.85,76,89,7.11
LK,Hambantota,81.12,6.12,79.32,79,100,17.78
US,Saint Anthony,-93.22,45.02,58.95,55,1,6.22
CA,Torbay,-52.73,47.67,64.26,93,90,19.46
CA,Hay River,-115.8,60.82,48.2,87,75,14.99
RU,Khilok,110.47,51.37,37.8,76,80,1.83
MX,San Sebastián Tenango,-98.18,18.65,60.04,71,75,20.8
US,Sitka,-135.33,57.05,53.6,81,90,8.05
CN,Dongsheng,109.98,39.82,52.54,75,2,9.71
SA,Najrān,44.13,17.49,71.6,26,16,4.12
PK,Shabqadar,71.56,34.21,71.6,60,20,9.17
RU,Lavrentiya,-171.0,65.58,37.74,76,0,1.77
IT,Provincia di Ferrara,11.83,44.8,56.66,91,99,2.62
RU,Goryachegorsk,88.92,55.41,22.44,97,13,1.68
CA,Sioux Lookout,-91.92,50.1,50.0,87,75,2.24
US,Saint George,-113.58,37.1,89.28,7,1,3.69
RU,Karsun,46.98,54.2,48.72,73,100,3.85
CA,Clyde River,-68.59,70.47,28.4,79,90,12.75
US,College,-147.8,64.86,52.81,50,40,5.82
PT,Vila Franca do Campo,-25.43,37.72,66.2,68,20,11.41
RU,Verkhovazh'ye,42.05,60.75,47.88,81,95,5.39
RU,Kupino,77.3,54.37,36.12,81,41,3.15
LR,Monrovia,-10.8,6.3,78.04,87,61,10.58
ES,Ejea de los Caballeros,-1.14,42.13,48.2,66,0,3.18
UZ,Yangi Marg`ilon,71.72,40.43,54.61,54,82,2.24
RU,Muzhi,64.67,65.37,47.77,83,96,10.54
MN,Darhan,105.92,49.49,41.09,73,98,7.27
RU,Pevek,170.31,69.7,38.53,76,100,20.27
BR,Bonfim,-59.95,3.08,83.07,57,93,5.84
SJ,Longyearbyen,15.64,78.22,44.6,75,75,19.46
CU,Corralillo,-80.59,22.98,79.7,83,34,5.19
SV,Puerto El Triunfo,-88.55,13.28,82.58,89,20,3.22
US,Pacific Grove,-121.92,36.62,61.34,92,27,1.99
PH,Pundaguitan,126.17,6.37,82.45,74,90,7.76
RU,Sychëvka,34.27,55.83,48.11,64,94,7.83
NO,Vardø,31.11,70.37,50.07,83,0,6.89
PL,Wojkowice,19.04,50.37,53.73,100,90,6.93
GH,Takoradze,-1.76,4.88,75.87,92,87,9.6
VE,San Cristobal,-72.22,7.77,86.0,45,40,17.22
RU,Loukhi,33.04,66.08,43.75,93,77,3.24
CA,Norman Wells,-126.83,65.28,44.6,65,75,9.17
MX,Lázaro Cárdenas,-102.2,17.96,82.89,78,69,3.98
US,Virginia,-77.45,37.55,73.62,94,90,6.93
PT,Ponta Delgada,-25.67,37.73,66.2,68,20,11.41
VN,Qui Nhon,109.23,13.77,79.66,79,100,5.59
RU,Talnakh,88.4,69.49,32.0,96,98,13.42
CA,Dauphin,-100.05,51.15,57.2,47,75,14.99
CN,Yebaishou,119.64,41.4,52.34,45,18,3.62
