Country,City,Longitude,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind_Speed(mph)
CD,Kikwit,18.82,-5.04,72.7,88,85,1.25
AR,Mar del Plata,-57.56,-38.0,64.4,59,50,8.05
AU,Carnarvon,113.63,-24.87,62.6,72,0,16.11
ID,Bengkulu,102.27,-3.8,76.23,83,94,6.58
CL,Punta Arenas,-70.92,-53.15,33.4,82,75,23.04
NZ,Bluff,168.33,-46.6,46.99,93,99,8.99
AU,Karratha,116.85,-20.74,82.02,17,30,15.97
AR,Ushuaia,-68.3,-54.8,33.8,86,75,20.8
ZA,Kruisfontein,24.73,-34.0,46.62,84,0,5.48
AO,Camabatela,15.38,-8.19,62.35,93,100,2.46
MV,Hithadhoo,73.08,-0.6,83.08,74,83,8.97
NZ,Mataura,168.86,-46.19,46.99,92,100,8.01
ID,Padang,100.35,-0.95,77.58,71,81,4.59
BR,São João da Barra,-41.05,-21.64,73.78,89,89,7.76
CO,Caucayá,-74.78,-0.19,71.15,98,79,3.87
NZ,Kaeo,173.78,-35.1,58.48,53,72,6.13
ZA,Cape Town,18.42,-33.93,54.43,76,3,10.29
AU,Busselton,115.33,-33.65,57.25,95,80,4.0
ZA,East London,27.91,-33.02,58.78,68,91,0.09
MZ,Angoche,39.91,-16.23,73.18,92,0,7.45
PF,Atuona,-139.03,-9.8,78.73,71,11,17.13
AU,New Norfolk,147.06,-42.78,55.4,69,99,1.01
AR,Tres Arroyos,-60.28,-38.37,58.98,72,3,10.42
AU,Hobart,147.33,-42.88,56.39,76,75,9.17
ID,Merauke,140.33,-8.47,82.69,64,61,13.04
NZ,Kaitangata,169.85,-46.28,48.99,64,72,1.99
AR,Reconquista,-59.65,-29.15,69.21,65,0,10.25
ZA,Springbok,17.89,-29.66,47.57,48,0,6.64
PG,Kavieng,150.8,-2.57,84.25,68,62,5.39
ZA,Port Alfred,26.89,-33.59,55.51,75,51,7.63
EC,Puerto Ayora,-90.35,-0.74,68.0,89,83,5.99
ZA,Saldanha,17.94,-33.01,50.0,81,0,6.93
BO,Jorochito,-63.43,-18.05,78.8,61,2,10.29
BR,Vila Velha,-40.29,-20.33,79.09,83,75,8.05
PF,Rikitea,-134.97,-23.12,70.39,79,29,20.87
MG,Beloha,45.05,-25.17,66.4,93,20,7.09
BO,Boyuibe,-63.28,-20.42,81.61,40,6,15.41
MU,Bambous Virieux,57.76,-20.34,70.84,88,75,6.93
