Country,City,Longitude,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind_Speed(mph)
CD,Kikwit,18.82,-5.04,72.7,88,85,1.25
RU,Tarko-Sale,77.78,64.92,39.99,86,98,7.76
AR,Mar del Plata,-57.56,-38.0,64.4,59,50,8.05
PH,Basco,121.97,20.45,81.28,82,92,13.78
US,Charleston,-79.93,32.78,64.4,100,90,4.7
AU,Carnarvon,113.63,-24.87,62.6,72,0,16.11
PT,Ponta do Sol,-17.1,32.67,68.77,73,75,13.87
RU,Sinegorskiy,40.84,48.01,54.97,52,100,17.74
CN,Jinchang,102.17,38.5,59.9,55,96,14.58
US,Farmington,-108.22,36.73,73.42,8,1,10.29
ID,Bengkulu,102.27,-3.8,76.23,83,94,6.58
US,Hilo,-155.09,19.73,81.7,70,1,11.41
CL,Punta Arenas,-70.92,-53.15,33.4,82,75,23.04
PL,Nur,22.32,52.67,51.53,87,93,10.6
IN,Bānka,86.92,24.88,78.13,80,87,2.75
UA,Tokmak,35.71,47.25,64.9,55,86,19.19
SV,San Miguel,-88.18,13.48,86.0,84,20,2.24
US,Saint Paul Harbor,-152.41,57.79,50.0,81,90,31.09
NZ,Bluff,168.33,-46.6,46.99,93,99,8.99
AU,Karratha,116.85,-20.74,82.02,17,30,15.97
AR,Ushuaia,-68.3,-54.8,33.8,86,75,20.8
MA,Martil,-5.28,35.62,71.6,88,75,9.17
ZA,Kruisfontein,24.73,-34.0,46.62,84,0,5.48
AO,Camabatela,15.38,-8.19,62.35,93,100,2.46
MV,Hithadhoo,73.08,-0.6,83.08,74,83,8.97
MY,George Town,100.34,5.41,79.27,88,20,2.24
CA,Yellowknife,-114.35,62.46,42.57,87,75,12.75
NZ,Mataura,168.86,-46.19,46.99,92,100,8.01
ID,Padang,100.35,-0.95,77.58,71,81,4.59
HK,Hong Kong,114.16,22.29,82.74,87,24,1.01
BR,São João da Barra,-41.05,-21.64,73.78,89,89,7.76
CO,Caucayá,-74.78,-0.19,71.15,98,79,3.87
MX,Dzilam González,-88.93,21.28,80.89,80,1,7.38
NZ,Kaeo,173.78,-35.1,58.48,53,72,6.13
GL,Qaanaaq,-69.36,77.48,14.29,79,0,6.24
PT,Ribeira Grande,-28.7,38.52,66.74,69,1,11.45
ZA,Cape Town,18.42,-33.93,54.43,76,3,10.29
AU,Busselton,115.33,-33.65,57.25,95,80,4.0
ZA,East London,27.91,-33.02,58.78,68,91,0.09
US,Jamestown,-79.24,42.1,56.25,81,90,6.93
US,Brigantine,-74.36,39.41,72.1,88,90,12.75
MZ,Angoche,39.91,-16.23,73.18,92,0,7.45
PL,Ełk,22.36,53.83,49.42,92,90,8.43
PF,Atuona,-139.03,-9.8,78.73,71,11,17.13
US,Albany,-73.97,42.6,61.0,78,79,5.41
AU,New Norfolk,147.06,-42.78,55.4,69,99,1.01
RU,Vostok,135.88,46.49,49.96,78,0,1.86
RU,Russkiy Aktash,52.12,55.04,46.4,75,65,4.47
AR,Tres Arroyos,-60.28,-38.37,58.98,72,3,10.42
SA,Sakakah,40.21,29.97,78.8,21,0,8.05
AU,Hobart,147.33,-42.88,56.39,76,75,9.17
RU,Dikson,80.55,73.51,35.51,82,100,15.46
ID,Merauke,140.33,-8.47,82.69,64,61,13.04
RU,Severo-Kuril'sk,156.12,50.68,54.57,72,88,9.44
BY,Forsytheganj,29.73,52.63,55.89,66,96,10.65
MY,Paka,103.44,4.64,75.11,100,40,3.87
NZ,Kaitangata,169.85,-46.28,48.99,64,72,1.99
AR,Reconquista,-59.65,-29.15,69.21,65,0,10.25
CA,Fort Nelson,-122.7,58.81,59.0,33,5,8.05
SY,Abu Samrah,37.18,35.3,72.86,51,18,8.68
ZA,Springbok,17.89,-29.66,47.57,48,0,6.64
PG,Kavieng,150.8,-2.57,84.25,68,62,5.39
ZA,Port Alfred,26.89,-33.59,55.51,75,51,7.63
US,Kapaa,-159.32,22.08,84.27,66,1,9.17
US,Cedar City,-113.06,37.68,78.8,7,1,5.82
EC,Puerto Ayora,-90.35,-0.74,68.0,89,83,5.99
ZA,Saldanha,17.94,-33.01,50.0,81,0,6.93
BO,Jorochito,-63.43,-18.05,78.8,61,2,10.29
SA,Abhā,42.51,18.22,63.57,48,0,0.78
CN,Bantou,117.49,26.22,68.22,90,100,2.64
CD,Mbandaka,18.26,0.05,70.99,87,69,2.53
VN,Bac Lieu,105.72,9.29,79.39,86,75,7.25
BR,Vila Velha,-40.29,-20.33,79.09,83,75,8.05
IN,Port Blair,92.75,11.67,81.37,81,89,18.01
US,Springdale,-94.13,36.19,65.62,34,1,5.82
PF,Rikitea,-134.97,-23.12,70.39,79,29,20.87
MG,Beloha,45.05,-25.17,66.4,93,20,7.09
CN,Ankang,109.02,32.68,65.12,79,7,2.89
